transcript,incident_type,address,city,zipcode,casualties,reporting_time,reporter
Speaker 2: There's a vehicle fire at 1223 RIVERCREST DR S UNIT F. No one is hurt.,vehicle fire,1223 RIVERCREST DR S UNIT F,DELAWARE,43015,none,2024-07-26T22:39:11.346318,Speaker 2
Speaker 3: There's a electrical fire at 1238 DALE FORD RD. Casualties reported: unknown number trapped,electrical fire,1238 DALE FORD RD,DELAWARE,43015,unknown number trapped,2024-10-04T03:04:11.346450,Speaker 3
Speaker 2: There's a vehicle fire at 597 BETTMANN ST. Casualties reported: caller trapped,vehicle fire,597 BETTMANN ST,DELAWARE,43015,caller trapped,2024-10-09T09:10:11.346533,Speaker 2
Speaker 2: There's a gas leak at 0 BANK ST. Casualties reported: children trapped,gas leak,0 BANK ST,DELAWARE,43015,children trapped,2025-03-23T03:52:11.346601,Speaker 2
Speaker 2: There's a industrial fire at 3230 GLENMEAD DR. Casualties reported: pets inside,industrial fire,3230 GLENMEAD DR,DELAWARE,43015,pets inside,2024-09-04T15:49:11.346675,Speaker 2
Speaker 1: There's a electrical fire at 126 PUMPHREY TER. Casualties reported: children trapped,electrical fire,126 PUMPHREY TER,DELAWARE,43015,children trapped,2024-08-23T08:04:11.346749,Speaker 1
Speaker 3: There's a electrical fire at 21 SCOTTWOOD CT. Casualties reported: unknown number trapped,electrical fire,21 SCOTTWOOD CT,DELAWARE,43015,unknown number trapped,2025-03-21T13:46:11.346811,Speaker 3
Speaker 4: There's a structure fire at 59 SHEARER PL STE 104. Casualties reported: unknown number trapped,structure fire,59 SHEARER PL STE 104,DELAWARE,43015,unknown number trapped,2024-12-29T10:14:11.346914,Speaker 4
Speaker 3: There's a industrial fire at 1820 WHITEHILL DR. Casualties reported: caller trapped,industrial fire,1820 WHITEHILL DR,DELAWARE,43015,caller trapped,2025-02-10T21:03:11.346982,Speaker 3
Speaker 1: There's a gas leak at 6021 DUBLIN RD. Casualties reported: caller trapped,gas leak,6021 DUBLIN RD,DELAWARE,43015,caller trapped,2024-04-02T15:16:11.347054,Speaker 1
Speaker 3: There's a false alarm at 23 SHELDON ST. Casualties reported: caller trapped,false alarm,23 SHELDON ST,DELAWARE,43015,caller trapped,2024-05-09T13:50:11.347114,Speaker 3
Speaker 4: There's a structure fire at 310 PINECREST CT. Casualties reported: caller escaped alone,structure fire,310 PINECREST CT,DELAWARE,43015,caller escaped alone,2024-09-15T22:55:11.347173,Speaker 4
Speaker 3: There's a industrial fire at 2911 S OLD STATE RD Area2-B27. Casualties reported: children trapped,industrial fire,2911 S OLD STATE RD Area2-B27,DELAWARE,43015,children trapped,2024-08-12T05:53:11.347231,Speaker 3
Speaker 1: There's a electrical fire at 216 KNIGHT DREAM ST. Casualties reported: pets inside,electrical fire,216 KNIGHT DREAM ST,DELAWARE,43015,pets inside,2024-08-21T21:07:11.347292,Speaker 1
Speaker 2: There's a electrical fire at 2005 STATE ROUTE 37 E. Casualties reported: unknown number trapped,electrical fire,2005 STATE ROUTE 37 E,DELAWARE,43015,unknown number trapped,2025-01-06T23:11:11.347350,Speaker 2
Speaker 3: There's a industrial fire at 0. Casualties reported: children trapped,industrial fire,0,DELAWARE,43015,children trapped,2024-05-06T06:40:11.347408,Speaker 3
Speaker 3: There's a electrical fire at 50 RICHARDS DR. No one is hurt.,electrical fire,50 RICHARDS DR,DELAWARE,43015,none,2024-10-27T00:27:11.347466,Speaker 3
Speaker 4: There's a gas leak at 7981 US HIGHWAY 23 N. Casualties reported: unknown number trapped,gas leak,7981 US HIGHWAY 23 N,DELAWARE,43015,unknown number trapped,2024-04-29T08:15:11.347523,Speaker 4
Speaker 1: There's a gas leak at 68 TROTTER'S CIR. Casualties reported: pets inside,gas leak,68 TROTTER'S CIR,DELAWARE,43015,pets inside,2025-01-04T18:33:11.347581,Speaker 1
Speaker 3: There's a wildfire at 235 HARMONY DR. Casualties reported: caller escaped alone,wildfire,235 HARMONY DR,DELAWARE,43015,caller escaped alone,2024-08-21T16:41:11.347639,Speaker 3
Speaker 3: There's a electrical fire at 134 W WINTER ST. Casualties reported: unknown number trapped,electrical fire,134 W WINTER ST,DELAWARE,43015,unknown number trapped,2025-01-24T11:33:11.347696,Speaker 3
Speaker 3: There's a kitchen fire at  . Casualties reported: elderly person trapped,kitchen fire, ,DELAWARE,43015,elderly person trapped,2024-11-10T18:22:11.347758,Speaker 3
Speaker 1: There's a false alarm at 75 WOOTRING ST APT B. Casualties reported: pets inside,false alarm,75 WOOTRING ST APT B,DELAWARE,43015,pets inside,2024-08-28T04:03:11.347820,Speaker 1
Speaker 2: There's a kitchen fire at 651 HILLS-MILLER RD. Casualties reported: elderly person trapped,kitchen fire,651 HILLS-MILLER RD,DELAWARE,43015,elderly person trapped,2025-01-20T10:20:11.347875,Speaker 2
Speaker 4: There's a kitchen fire at 1325 MIDDLESEX LN APT B. Casualties reported: caller trapped,kitchen fire,1325 MIDDLESEX LN APT B,DELAWARE,43015,caller trapped,2025-02-16T11:15:11.347945,Speaker 4
Speaker 2: There's a electrical fire at 231 SYLVAN DR. Casualties reported: unknown number trapped,electrical fire,231 SYLVAN DR,DELAWARE,43015,unknown number trapped,2024-08-27T20:53:11.348028,Speaker 2
Speaker 4: There's a industrial fire at 249 N SANDUSKY ST. Casualties reported: caller escaped alone,industrial fire,249 N SANDUSKY ST,DELAWARE,43015,caller escaped alone,2025-01-26T04:05:11.348086,Speaker 4
Speaker 2: There's a kitchen fire at 102 DIVERSTON WAY. Casualties reported: unknown number trapped,kitchen fire,102 DIVERSTON WAY,DELAWARE,43015,unknown number trapped,2025-03-18T11:34:11.348150,Speaker 2
Speaker 3: There's a industrial fire at 4183 BOWTOWN RD. Casualties reported: caller escaped alone,industrial fire,4183 BOWTOWN RD,DELAWARE,43015,caller escaped alone,2024-10-31T19:49:11.348207,Speaker 3
Speaker 4: There's a structure fire at 642 BALD EAGLE DR. Casualties reported: unknown number trapped,structure fire,642 BALD EAGLE DR,DELAWARE,43015,unknown number trapped,2024-06-18T08:30:11.348260,Speaker 4
Speaker 4: There's a industrial fire at 4077 US HIGHWAY 42 S. Casualties reported: unknown number trapped,industrial fire,4077 US HIGHWAY 42 S,DELAWARE,43015,unknown number trapped,2024-05-11T01:49:11.348316,Speaker 4
