OBJECTID,Township,Municipality,SHAPE__Area,SHAPE__Length
1,MARLBORO, ,53889473.984375,31146.1852132032
2,RADNOR, ,139453087.5625,55452.433475839
3,DELAWARE TWP, ,9810.7734375,428.333606347962
4,BERLIN, ,126176.51171875,1473.04991218353
5,ORANGE, ,8902.953125,400.926677353717
6,COLUMBUS,COLUMBUS,9942.59375,406.35531709372
7,OXFORD, ,217773.90625,2085.97462489056
8,DELAWARE TWP, ,174436.66015625,2314.00958217358
9,DELAWARE TWP, ,65173.96484375,1026.26291636579
10,DELAWARE TWP, ,113180.2109375,1361.61216727643
11,DELAWARE TWP, ,16395.859375,632.086402572531
12,DELAWARE TWP, ,18928.20703125,644.433544087192
13,DELAWARE TWP, ,72176.8515625,1578.0581983102
14,DELAWARE TWP, ,161006.8359375,1648.55668953603
15,DELAWARE TWP, ,30024.15625,954.576573203816
16,ORANGE, ,48869.02734375,1040.86794745865
17,BERKSHIRE, ,25158.31640625,831.767322251605
18,BERKSHIRE, ,40369.12109375,971.66996292828
19,BERKSHIRE, ,782753.31640625,6823.44962627754
20,BERKSHIRE, ,35694.73828125,1044.39713764716
21,BERLIN, ,152487.734375,1805.81896070553
22,SHAWNEE HILLS,SHAWNEE HILLS,55267.796875,970.219850069793
23,GENOA, ,306751.95703125,3305.61976307213
24,HARLEM, ,117900670.65625,43413.879387594
25,DELAWARE TWP, ,91419.27734375,1240.7766027302
26,DELAWARE TWP, ,749057.5625,4685.6037190018
27,ASHLEY,ASHLEY,2946110.1953125,11921.021857642
28,DELAWARE TWP, ,1224139.75,4436.44955754111
29,BERKSHIRE, ,6165.0390625,384.931996805882
30,ORANGE, ,120141.6953125,1598.47500924143
31,PORTER, ,113036772.878906,42636.2993303713
32,OXFORD, ,86522716.1796875,45309.4100328788
33,LIBERTY, ,1105741.39453125,6331.49368029404
34,GENOA, ,94852761.703125,44927.8986277252
35,BERLIN, ,19209.02734375,557.940696100983
36,BERKSHIRE, ,32183.17578125,2298.86710427379
37,DELAWARE TWP, ,68155.41015625,1054.42155406105
38,ORANGE, ,148253.70703125,2035.16918841552
39,OSTRANDER,OSTRANDER,4217258.55859375,19577.1632458338
40,ORANGE, ,98913.984375,1948.26575325192
41,ORANGE, ,77758.68359375,2399.83807229292
42,DUBLIN,DUBLIN,8639988.4765625,18474.2760560806
43,BERLIN, ,107709.1875,2052.73925689604
44,GENOA, ,3547.8046875,234.018566255033
45,GENOA, ,18371.6171875,736.95394116254
46,BERKSHIRE, ,8384.66015625,379.450235896818
47,SHAWNEE HILLS,SHAWNEE HILLS,1913829.265625,9907.19861619974
48,POWELL,POWELL,25855068.2460938,73116.5211510753
49,DELAWARE TWP, ,6067260.48046875,16711.9087602674
50,KINGSTON, ,106167954.792969,41290.631063842
51,LIBERTY, ,359329.8203125,2901.61145704463
52,THOMPSON, ,90667402.0546875,43696.9097082498
53,DELAWARE TWP, ,698775.37890625,6828.34918113388
54,TROY, ,109046930.808594,49624.1278721249
55,WESTERVILLE,WESTERVILLE,17895945.9023438,35602.4859848075
56,ORANGE, ,97127268.6367188,56005.7693375376
57,BERKSHIRE, ,120.9140625,44.3017848895249
58,DELAWARE TWP, ,4173.91796875,287.768819323434
59,BERKSHIRE, ,401358.55859375,3674.58875903886
60,BROWN, ,10088.60546875,447.743691420376
61,BROWN, ,112923846.027344,47425.6921329315
62,DELAWARE TWP, ,11518617.5273438,24889.0734791549
63,BERKSHIRE, ,1502020.63671875,7313.83100994919
64,SCIOTO, ,153107304.800781,77301.7671222387
65,SUNBURY,SUNBURY,32426220.09375,87631.1662648605
66,GALENA,GALENA,8092567.37109375,30938.2433396224
67,LIBERTY, ,632801.17578125,4906.94321911121
68,DELAWARE,DELAWARE,96419875.9335938,163439.3105491
69,DELAWARE TWP, ,3609.32421875,247.896849910356
70,DELAWARE TWP, ,20828,596.670338600438
71,DELAWARE TWP, ,3038538.41015625,10557.1332311139
72,BERLIN, ,105644653.601563,55176.7787179184
73,BERKSHIRE, ,25572.26953125,644.054853055367
74,BERKSHIRE, ,35511589.8515625,33690.5155359298
75,LIBERTY, ,117292621.65625,126026.045439515
76,COLUMBUS,COLUMBUS,14874738.5195313,28930.9575569204
77,BERKSHIRE, ,39826497.8359375,68714.6294375176
78,DELAWARE TWP, ,6906.28515625,1721.20479950403
79,TRENTON, ,109966791.3125,56260.6856133091
80,DELAWARE TWP, ,725877.58984375,3765.80171136529
81,CONCORD, ,98383726.6445313,68660.0679342872
82,DELAWARE TWP, ,11407471.2851563,35800.6249147793
