OBJECTID,Address Grid High,Address Grid Low,ENG_UNIQUE,Township Id,Road Id,Segment Id,Subsegment Id,Right City,Left County,Right County,Left State,Right State,Left FIPS,Right FIPS,Cardinality,Number of Lanes,Speed,Left City,Left Township,Right Township,Jurisdiction,Beginning Log Point,3D Length,Surface Type,Travel Direction,Reverse Direction,Divided,Alternate Pre Direction,Alternate Street Name,Alternate Suffix Direction,Alternate Street Type,End Log Point,Beginning Log Point 2,End Log Point 2,NLFID 2,Overlapping Road,Road ID,Pre Direction,Suffix Direction,Left To Address,Left From Address,Right To Address,Right From Address,Left Zip Code,Right Zip Code,Street Name,Street Type,Road Number,NLFID,Pre Type,Full Street Name,PNAME,Left Community,Right Community,Shield,SHAPE__Length
1,9800,8500, ,,21,45,0, ,DEL,DEL,OH,OH,76617,76617,C,2,55, ,THOMPSON TWP,THOMPSON TWP,S,0,0,P,B,True,N, ,SR 47/ST RT 47/47, , ,0,0,0, , ,1621004500, , ,8780,9702,8921,9581,43344,43344,47, ,47,SDELSR00047**C,STATE ROUTE,STATE ROUTE 47,STATE ROUTE 47,THOMPSON TWP,THOMPSON TWP,SR-47,2248.77652608206
2,7200,7000, ,,45,2001,0, ,DEL,DEL,OH,OH,76617,76617,C,2,55, ,THOMPSON TWP,THOMPSON TWP,M,0,0,P,B, ,N, , , , ,0,0,0, , ,1645200100, , ,0,0,0,0,43344,43344,SCHOFIELD,RD,186,TDELTR00186**C, ,SCHOFIELD RD,SCHOFIELD,THOMPSON TWP,THOMPSON TWP, ,190.620987371566
3,9800,8500, ,,21,45,1, ,DEL,DEL,OH,OH,76617,76617,C,2,55, ,THOMPSON TWP,THOMPSON TWP,S,0,0,P,B,True,N, ,SR 47/ST RT 47/47, , ,0,0,0, , ,1621004501, , ,0,0,0,0,43344,43344,47, ,47,SDELSR00047**C,STATE ROUTE,STATE ROUTE 47,STATE ROUTE 47,THOMPSON TWP,THOMPSON TWP,SR-47,18.7121414124838
4,9000,7300, ,,41,50,1, ,DEL,DEL,OH,OH,76617,76617,C,2,55, ,THOMPSON TWP,THOMPSON TWP,T,0,0,P,B,True,N, ,DAVIS KIRK/DAVISKIRK, ,RD/RD,0,0,0, , ,1641005001, , ,0,0,0,0,43344,43342,DAVIS-KIRK,RD,184,TDELTR00184**C, ,DAVIS-KIRK RD,DAVIS-KIRK,THOMPSON TWP,THOMPSON TWP, ,641.274085239721
5,7800,1501, ,,21,52,0, ,DEL,DEL,OH,OH,76617,76617,C,2,55, ,THOMPSON TWP,THOMPSON TWP,S,0,0,P,B, ,N, ,SR 257/ST RT 257/257,N/N/, ,0,0,0,SDELSR00257**C,M,1621005200, ,N,7745,7563,7750,7522,43342,43342,257, ,257,SDELSR00257**C,STATE ROUTE,STATE ROUTE 257 N,STATE ROUTE 257,THOMPSON TWP,THOMPSON TWP,SR-257,941.714562607294
6,7500,6700, ,,41,51,0, ,DEL,DEL,OH,OH,76617,76617,C,2,55, ,THOMPSON TWP,THOMPSON TWP,T,0,0,P,B,True,N, , , , ,0,0,0, , ,1641005100, , ,0,0,0,0,43342,43342,GRIGSBY,RD,280,TDELTR00280**C, ,GRIGSBY RD,GRIGSBY,THOMPSON TWP,THOMPSON TWP, ,1533.03948336227
7,9000,8800, ,,41,8,0, ,DEL,DEL,OH,OH,47908,47908,C,2,55, ,MARLBORO TWP,MARLBORO TWP,T,0,0,P,B, ,N, , , , ,0,0,0, , ,1041000800, , ,0,0,0,0,43066,43356,GILLETT,RD,233,TDELTR00233**C, ,GILLETT RD,GILLETT,MARLBORO TWP,MARLBORO TWP, ,312.366503833209
8,7700,5700, ,,21,46,0, ,DEL,DEL,OH,OH,76617,76617,C,2,55, ,THOMPSON TWP,THOMPSON TWP,S,0,0,P,B, ,N, ,SR 4/ST RT 4/4, , ,0,0,0, , ,1621004600, , ,7261,6959,7446,6882,43344,43344,4, ,4,SDELSR00004**C,STATE ROUTE,STATE ROUTE 4,STATE ROUTE 4,THOMPSON TWP,THOMPSON TWP,SR-4,1521.08424688791
9,9000,7300, ,,41,48,0, ,DEL,DEL,OH,OH,76617,76617,C,2,55, ,THOMPSON TWP,THOMPSON TWP,T,0,0,P,B,True,N, ,DAVIS KIRK/DAVISKIRK, ,RD/RD,0,0,0, , ,1641004800, , ,8496,8496,8459,8959,43344,43344,DAVIS-KIRK,RD,184,TDELTR00184**C, ,DAVIS-KIRK RD,DAVIS-KIRK,THOMPSON TWP,THOMPSON TWP, ,1643.32248669673
10,9000,7300, ,,41,49,0, ,DEL,DEL,OH,OH,76617,76617,C,2,55, ,THOMPSON TWP,THOMPSON TWP,T,0,0,P,B,True,N, ,DAVIS KIRK/DAVISKIRK, ,RD/RD,0,0,0, , ,1641004900, , ,8076,8076,8027,8027,43344,43344,DAVIS-KIRK,RD,184,TDELTR00184**C, ,DAVIS-KIRK RD,DAVIS-KIRK,THOMPSON TWP,THOMPSON TWP, ,1341.62564153541
