OBJECTID,Zip Code,Name,SHAPE__Area,SHAPE__Length
1,43011,CENTERBURG,304567.296875,2391.27538359695
2,43015,DELAWARE,11233.9296875,461.183421479498
3,43016,DUBLIN,756256.37109375,3542.71755597621
4,43040,MARYSVILLE,2602804.46484375,8008.63927073891
5,43054,NEW ALBANY,2876759.4921875,8623.34973143985
6,43061,OSTRANDER,2775123.73046875,8578.02665853031
7,43064,PLAIN CITY,1888.34375,348.448792484591
8,43074,SUNBURY,11564.08203125,502.346457102394
9,43334,MARENGO,9056455.5703125,18174.4970854279
10,43342,PROSPECT,9354668.3125,17472.6621986306
11,43356,WALDO,1701757.734375,6445.39346847477
12,43081,WESTERVILLE,625053.46875,5911.70301488704
13,43081,WESTERVILLE,612418.4375,4251.74457983694
14,43081,WESTERVILLE,863804.8828125,6742.59905285684
15,43081,WESTERVILLE,122415.3515625,2379.36464795557
16,43081,WESTERVILLE,548745.05859375,9842.62902905204
17,43064,PLAIN CITY,147546.25390625,2718.46365916972
18,43064,PLAIN CITY,1346135.39453125,8498.00950905128
19,43021,GALENA,316546.8125,3762.23093449911
20,43011,CENTERBURG,363398.91015625,3032.40383298016
21,43015,DELAWARE,11756.28515625,441.024582969739
22,43344,RICHWOOD,15596432.4960938,18260.5977003753
23,43064,PLAIN CITY,6858.3984375,329.310019018407
24,43065,POWELL,338364.79296875,5472.83946745617
25,43082,WESTERVILLE,17089.90625,528.894853874346
26,43040,MARYSVILLE,1001402.17578125,4760.54689856783
27,43342,PROSPECT,416271.125,2888.13757572118
28,43061,OSTRANDER,36360.6328125,1002.89513096276
29,43356,WALDO,7049103.81640625,15088.1521775665
30,43013,CROTON,751331.6796875,4685.91559490807
31,43082,WESTERVILLE,181767.7578125,2124.49847102828
32,43065,POWELL,33281.515625,777.663303571111
33,43065,POWELL,121138.30078125,2282.76694700382
34,43240,COLUMBUS,11329356.1640625,21271.3035596532
35,43017,DUBLIN,15938777.2695313,22215.9891599081
36,43235,COLUMBUS,28274.51953125,784.057159233927
37,43235,COLUMBUS,117181.05859375,2699.8764743175
38,43342,PROSPECT,50627.859375,941.336864805844
39,43066,RADNOR,163467698,90880.4284736762
40,43003,ASHLEY,84982162.1757813,62003.8278562135
41,43021,GALENA,151548192.738281,197392.547051787
42,43035,LEWIS CENTER,199849.51171875,1815.004660183
43,43011,CENTERBURG,49799291.7890625,37983.2916757312
44,43082,WESTERVILLE,21424.421875,791.737722010877
45,43082,WESTERVILLE,21086.82421875,618.252534401863
46,43082,WESTERVILLE,253.76953125,386.512241449283
47,43082,WESTERVILLE,257.8359375,342.42876982917
48,43082,WESTERVILLE,2281.43359375,196.100591601978
49,43082,WESTERVILLE,3225.5,278.026924285759
50,43082,WESTERVILLE,114305335.605469,156544.21354824
51,43082,WESTERVILLE,9535.921875,415.858960461621
52,43082,WESTERVILLE,9774.86328125,454.111400532311
53,43035,LEWIS CENTER,564112.41796875,3771.45202480758
54,43021,GALENA,16036544.9179688,26256.345789057
55,43035,LEWIS CENTER,83158114.9960938,73379.3126605112
56,43344,RICHWOOD,2098335.53515625,7332.992828408
57,43040,MARYSVILLE,7800839.46875,28800.1103636687
58,43061,OSTRANDER,157750035.507813,92075.3131913884
59,43074,SUNBURY,374381460.847656,127842.665601323
60,43065,POWELL,118835710.328125,107395.292464979
61,43015,DELAWARE,604530519.835938,282653.495402665
62,43031,JOHNSTOWN,20425617.3242188,24104.8413070625
